original_title|original_url|original_source|related_count|related_sources|related_urls|related_titles|similarity_scores
Mumbai: Fire breaks out at residential  building, hotel; no casualties|https://indianexpress.com/article/cities/mumbai/marine-lines-building-fire-none-hurt-9850166/|indianexpress.com|0||||
Mumbai News Live Updates: Mahayuti’s win shows Maharashtra’s verdict on genuine Shiv Sena, NCP, says Amit Shah|https://indianexpress.com/article/cities/mumbai/mumbai-news-live-updates-devendra-fadnavis-bjp-shiv-sena-traffic-weather-9845790/|indianexpress.com|0||||
"Mumbai: Massive fire breaks out at Fairmont hotel near airport, 70 people rescued through staircase | Watch video | Today News"|https://www.livemint.com/news/india/mambai-massive-fire-breaks-out-at-fairmont-hotel-near-airport-70-people-rescued-through-staircase-watch-video-11740235178967.html|www.livemint.com|0||||
